Time	Node	Type	Packets	
5	BTR4	CacheHits	0
5	BTR4	CacheMisses	1278
5	BTR42	CacheHits	0
5	BTR42	CacheMisses	1108
5	BTP1	CacheHits	0
5	BTP1	CacheMisses	5515
5	BTP2	CacheHits	0
5	BTP2	CacheMisses	6297
5	BTP3	CacheHits	0
5	BTP3	CacheMisses	6856
5	BTP4	CacheHits	0
5	BTP4	CacheMisses	5879
5	BTP32	CacheHits	0
5	BTP32	CacheMisses	8478
5	BTP42	CacheHits	0
5	BTP42	CacheMisses	7044
5	Cons1	CacheHits	0
5	Cons1	CacheMisses	942
5	Cons2	CacheHits	0
5	Cons2	CacheMisses	1210
5	Prod11	CacheHits	0
5	Prod11	CacheMisses	2483
5	Prod12	CacheHits	0
5	Prod12	CacheMisses	1829
5	Prod21	CacheHits	0
5	Prod21	CacheMisses	552
5	Prod22	CacheHits	0
5	Prod22	CacheMisses	3847
6	Rtr1	CacheHits	2730
6	Rtr1	CacheMisses	2502
6	Rtr2	CacheHits	1219
6	Rtr2	CacheMisses	4111
6	Rtr3	CacheHits	1174
6	Rtr3	CacheMisses	3243
6	Rtr4	CacheHits	1098
6	Rtr4	CacheMisses	6297
6	Rtr5	CacheHits	1772
6	Rtr5	CacheMisses	2715
6	Rtr6	CacheHits	1340
6	Rtr6	CacheMisses	4376
6	Rtr7	CacheHits	1260
6	Rtr7	CacheMisses	3566
6	Rtr8	CacheHits	1576
6	Rtr8	CacheMisses	2584
6	Rtr9	CacheHits	1946
6	Rtr9	CacheMisses	3813
6	Rtr10	CacheHits	0
6	Rtr10	CacheMisses	0
6	Rtr11	CacheHits	0
6	Rtr11	CacheMisses	0
6	BTR1	CacheHits	0
6	BTR1	CacheMisses	1461
6	BTR2	CacheHits	0
6	BTR2	CacheMisses	1146
6	BTR3	CacheHits	0
6	BTR3	CacheMisses	1217
6	BTR32	CacheHits	0
6	BTR32	CacheMisses	1132
6	BTR4	CacheHits	0
6	BTR4	CacheMisses	1087
6	BTR42	CacheHits	0
6	BTR42	CacheMisses	1312
6	BTP1	CacheHits	0
6	BTP1	CacheMisses	6218
6	BTP2	CacheHits	0
6	BTP2	CacheMisses	6834
6	BTP3	CacheHits	0
6	BTP3	CacheMisses	8164
6	BTP4	CacheHits	0
6	BTP4	CacheMisses	6607
6	BTP32	CacheHits	0
6	BTP32	CacheMisses	8518
6	BTP42	CacheHits	0
6	BTP42	CacheMisses	6388
6	Cons1	CacheHits	0
6	Cons1	CacheMisses	1619
6	Cons2	CacheHits	0
6	Cons2	CacheMisses	1304
6	Prod11	CacheHits	0
6	Prod11	CacheMisses	2570
6	Prod12	CacheHits	0
6	Prod12	CacheMisses	1344
6	Prod21	CacheHits	0
6	Prod21	CacheMisses	696
6	Prod22	CacheHits	0
6	Prod22	CacheMisses	4235
7	Rtr1	CacheHits	2476
7	Rtr1	CacheMisses	1866
7	Rtr2	CacheHits	1265
7	Rtr2	CacheMisses	3308
7	Rtr3	CacheHits	1637
7	Rtr3	CacheMisses	2718
7	Rtr4	CacheHits	712
7	Rtr4	CacheMisses	5143
7	Rtr5	CacheHits	2043
7	Rtr5	CacheMisses	2083
7	Rtr6	CacheHits	983
7	Rtr6	CacheMisses	3316
7	Rtr7	CacheHits	1189
7	Rtr7	CacheMisses	3690
7	Rtr8	CacheHits	1582
7	Rtr8	CacheMisses	2693
7	Rtr9	CacheHits	1985
7	Rtr9	CacheMisses	4068
7	Rtr10	CacheHits	0
7	Rtr10	CacheMisses	0
7	Rtr11	CacheHits	0
7	Rtr11	CacheMisses	0
